section,object_name,item_name,details
column,property_photos,created_at,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""column_default"":""now()"",""ordinal_position"":13}"
column,property_photos,deleted_at,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":15}"
column,property_photos,height,"{""udt_name"":""int4"",""data_type"":""integer"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":8}"
column,property_photos,id,"{""udt_name"":""uuid"",""data_type"":""uuid"",""is_nullable"":""NO"",""column_default"":""gen_random_uuid()"",""ordinal_position"":1}"
column,property_photos,is_primary,"{""udt_name"":""bool"",""data_type"":""boolean"",""is_nullable"":""NO"",""column_default"":""false"",""ordinal_position"":11}"
column,property_photos,mime_type,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":6}"
column,property_photos,property_global_id,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":3}"
column,property_photos,property_id,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""NO"",""column_default"":null,""ordinal_position"":2}"
column,property_photos,size_bytes,"{""udt_name"":""int8"",""data_type"":""bigint"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":9}"
column,property_photos,sort_order,"{""udt_name"":""int4"",""data_type"":""integer"",""is_nullable"":""NO"",""column_default"":""0"",""ordinal_position"":10}"
column,property_photos,storage_path,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""NO"",""column_default"":null,""ordinal_position"":4}"
column,property_photos,thumb_path,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""NO"",""column_default"":null,""ordinal_position"":5}"
column,property_photos,updated_at,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""column_default"":""now()"",""ordinal_position"":14}"
column,property_photos,uploaded_by,"{""udt_name"":""uuid"",""data_type"":""uuid"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":12}"
column,property_photos,width,"{""udt_name"":""int4"",""data_type"":""integer"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":7}"
constraint,profiles,2200_17523_1_not_null,"{""check_clause"":""id IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,profiles,2200_17523_3_not_null,"{""check_clause"":""role IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,profiles,2200_17523_4_not_null,"{""check_clause"":""created_at IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,profiles,2200_17523_5_not_null,"{""check_clause"":""updated_at IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,profiles,profiles_id_fkey,"{""columns"":[""id""],""constraint_type"":""FOREIGN KEY""}"
constraint,profiles,profiles_pkey,"{""columns"":[""id""],""constraint_type"":""PRIMARY KEY""}"
constraint,profiles,profiles_role_check,"{""check_clause"":""(role = ANY (ARRAY['admin'::text, 'staff'::text]))"",""constraint_type"":""CHECK""}"
constraint,properties,2200_17553_19_not_null,"{""check_clause"":""date_uploaded IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,properties,2200_17553_1_not_null,"{""check_clause"":""id IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,properties,2200_17553_26_not_null,"{""check_clause"":""created_at IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,properties,2200_17553_27_not_null,"{""check_clause"":""updated_at IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,properties,2200_17553_2_not_null,"{""check_clause"":""global_id IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,properties,2200_17553_3_not_null,"{""check_clause"":""item_no IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,properties,2200_17553_4_not_null,"{""check_clause"":""source_type IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,properties,2200_17553_5_not_null,"{""check_clause"":""is_general IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,properties,2200_17553_6_not_null,"{""check_clause"":""address IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,properties,properties_assignee_id_fkey,"{""columns"":[""assignee_id""],""foreign_table"":""profiles"",""constraint_type"":""FOREIGN KEY"",""foreign_columns"":[""id""]}"
constraint,properties,properties_pkey,"{""columns"":[""id""],""constraint_type"":""PRIMARY KEY""}"
constraint,property_activity_logs,2200_25561_10_not_null,"{""check_clause"":""changed_fields IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_activity_logs,2200_25561_12_not_null,"{""check_clause"":""created_at IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_activity_logs,2200_25561_1_not_null,"{""check_clause"":""id IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_activity_logs,2200_25561_6_not_null,"{""check_clause"":""actor_id IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_activity_logs,2200_25561_8_not_null,"{""check_clause"":""action_type IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_activity_logs,2200_25561_9_not_null,"{""check_clause"":""action_date IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_activity_logs,property_activity_logs_pkey,"{""columns"":[""id""],""constraint_type"":""PRIMARY KEY""}"
constraint,property_photos,2200_30070_10_not_null,"{""check_clause"":""sort_order IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_photos,2200_30070_11_not_null,"{""check_clause"":""is_primary IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_photos,2200_30070_13_not_null,"{""check_clause"":""created_at IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_photos,2200_30070_14_not_null,"{""check_clause"":""updated_at IS NOT NULL"",""constraint_type"":""CHECK""}"
